"['time', 'Speed [km/h]']","['time', 'Steer [deg]']","['time', 'Yaw [deg]']","['time', 'ax [m/s²]']","['time', 'ay [m/s²]']","['time', 'az [m/s²]']"
0.19,18.333062553405764,-0.3525117459951909,0.031242816053105627,2.4586305618286133,-0.00014117958198767155,-0.019338730722665787
0.2,18.72249698638916,-0.3644023582882427,0.03172790289146867,2.458296298980713,-0.0006284184055402875,-0.01918542943894863
0.21,19.111316871643066,-0.37432998488600333,0.032170050918521216,2.450045347213745,-0.0008428902947343886,-0.018364716321229935
0.22,19.49898319244385,-0.38276289395301544,0.03257250180607637,2.4460294246673584,-0.0010452287970110774,-0.017654187977313995
0.23,19.7895938873291,-0.38847274533616094,0.032853856908102635,2.446415662765503,-0.0012557102600112557,-0.01661146618425846
0.24,20.177079963684083,-0.3943119701071401,0.03320766937824789,2.444946050643921,-0.0014308777172118425,-0.015429645776748657
0.25,20.56288890838623,-0.3971746197821688,0.03354180169883638,2.392611503601074,-0.001140065025538206,-0.0124664893373847
0.26,20.838994216918945,-0.38397786721248434,0.033759213823833026,2.2659401893615723,0.002106168307363987,-0.02503371052443981
0.27,21.195061111450197,-0.4056888774694128,0.03399144692572007,2.241859197616577,0.0009215549216605723,-0.02955634891986847
0.28,21.63750286102295,-0.43103333492137647,0.03414457256319662,2.2329776287078857,-0.0013109906576573849,-0.020077677443623543
0.29,21.99339809417725,-0.44516622361374936,0.0341877314880253,2.2686610221862793,-0.0034606726840138435,-0.009508506394922733
0.3,22.35728931427002,-0.45050652441020017,0.0342374938183992,2.32804799079895,-0.004968557041138411,-0.0007478763000108302
0.31,22.63644504547119,-0.4490710107457339,0.034325752669080466,2.3725085258483887,-0.006002683192491531,-0.0012509300140663981
0.32,23.016659545898438,-0.4327571305935849,0.034546062955399734,2.427293062210083,-0.005926291923969984,-0.0055049024522304535
0.33,23.40469150543213,-0.4161258600884418,0.03491128797795699,2.5992014408111572,-0.0040027061477303505,-0.00920497253537178
0.34,23.90844898223877,-0.40635423394410725,0.03556718624147656,2.524756669998169,-0.0027892126236110926,-0.008820941671729088
0.35000000000000003,24.314040184020996,-0.39803004761486,0.03617634039786385,2.4902119636535645,0.0012503977632150054,-0.017440123483538628
0.36,24.8066276550293,-0.417110981474084,0.03689866958817906,2.489762544631958,0.0019332009833306074,-0.021442094817757607
0.37,25.399968338012695,-0.4485893756875422,0.037563632526583436,2.5065150260925293,-0.0001008960316539742,-0.025289176031947136
0.38,25.797937774658205,-0.46262765558773983,0.03788506829923725,2.5171806812286377,-0.001425296301022172,-0.025259407237172127
0.39,26.296972846984865,-0.4681298532118611,0.03821878707321583,2.5229015350341797,-0.0023712103720754385,-0.02366158738732338
0.4,26.89684352874756,-0.4663372487198501,0.03860951858345486,2.5241191387176514,-0.002238805638626218,-0.020331131294369698
0.41000000000000003,27.196540260314944,-0.4646904260779366,0.038815941707809325,2.5209755897521973,-0.0019988554995507,-0.018478063866496086
0.42,27.595582580566408,-0.46345848406724843,0.03910054848680861,2.517345905303955,-0.0015273323515430093,-0.01636415161192417
0.43,28.093680381774902,-0.46479074448137114,0.03945753259264756,2.5140700340270996,-0.0010794129921123385,-0.015758994966745377
0.44,28.491771697998047,-0.46747324791704076,0.03972911265343491,2.512427568435669,-0.000822985777631402,-0.016448145732283592
0.45,29.088497543334963,-0.4734814131482719,0.040092079844904226,2.509366989135742,-0.0008930558105930686,-0.01743282563984394
0.46,29.386474227905275,-0.4762420902334264,0.04024993792302152,2.5069847106933594,-0.0010150796733796597,-0.017949949949979782
0.47000000000000003,29.98176498413086,-0.4808428096088118,0.040523348928073674,2.5033206939697266,-0.0013273359509184957,-0.01827537640929222
0.48,30.278893661499023,-0.48197880880600247,0.04064299063036129,2.498685359954834,-0.0014412812888622284,-0.018497901037335396
0.49,30.871815490722657,-0.4833820925153227,0.04085893199685014,2.492668867111206,-0.00155428156722337,-0.018534749746322632
0.5,31.266482162475587,-0.48399238058983396,0.04099123689653938,2.490541458129883,-0.0015455594984814525,-0.0181276798248291
0.51,31.759476470947266,-0.4848565062415463,0.04114696721064766,2.4892499446868896,-0.0014930354664102197,-0.017456939443945885
0.52,32.153741455078126,-0.48577890194461537,0.041264017576516765,2.488544464111328,-0.0014584423042833805,-0.01701214350759983
0.53,32.646347808837895,-0.48704061931121656,0.041399654194458374,2.4872887134552,-0.0014446876011788845,-0.016909027472138405
0.54,33.040300369262695,-0.4881583157358657,0.04149899876232768,2.48673415184021,-0.0014599610585719347,-0.01710941642522812
0.55,33.630753707885745,-0.4894094676535945,0.041632484270887136,2.4831948280334473,-0.0015116037102416158,-0.017562923952937126
0.56,33.92568855285645,-0.48994590430770496,0.04169255858608217,2.4819231033325195,-0.0015353591879829764,-0.017708806321024895
0.5700000000000001,34.31874160766602,-0.49060186927229066,0.0417666234498945,2.4808461666107178,-0.0015577374724671245,-0.01777796261012554
0.58,34.80988883972168,-0.49139251702957254,0.041850786855116395,2.4802184104919434,-0.001580967684276402,-0.01772056147456169
0.59,35.20274963378906,-0.4920111293971347,0.041912295243232874,2.4800589084625244,-0.001598817645572126,-0.017622195184230804
0.6,35.792025375366215,-0.4928819251554584,0.04199618850913701,2.4800631999969482,-0.0016222487902268767,-0.017503419890999794
0.61,36.08666496276856,-0.493289868875808,0.04203477841093692,2.4800901412963867,-0.0016318140551447868,-0.01747751049697399
0.62,36.6759578704834,-0.49404401780971263,0.04210595178353323,2.4801383018493652,-0.0016497639007866383,-0.017444103956222534
0.63,36.97060775756836,-0.4943899028581503,0.0421387520327945,2.4801533222198486,-0.001656801556237042,-0.017441585659980774
0.64,37.55990753173828,-0.49503375490912976,0.042199189868799857,2.4801740646362305,-0.0016678598476573825,-0.017485812306404114
0.65,37.952778625488286,-0.4954386570608646,0.042235852109789085,2.4801933765411377,-0.0016742250882089138,-0.01754165254533291
0.66,38.44387435913086,-0.49592247991402477,0.0422777937401612,2.4802331924438477,-0.0016816029092296958,-0.017599867656826973
0.67,39.03319816589356,-0.49647956721820397,0.042322676887548906,2.4802961349487305,-0.001692378195002675,-0.017633497714996338
0.68,39.32786865234375,-0.4967470651737452,0.042342984027127134,2.4803295135498047,-0.0016986450646072626,-0.01763654500246048
0.6900000000000001,39.91721649169922,-0.4972561810711756,0.042379562891783726,2.480393886566162,-0.0017122694989666343,-0.017627332359552383
0.7000000000000001,40.21189727783203,-0.4974969452394185,0.042395938003514565,2.480424165725708,-0.0017191891092807055,-0.017620475962758064
0.71,40.801265716552734,-0.49795238011884085,0.04242513639520571,2.4804821014404297,-0.0017323045758530498,-0.017611736431717873
0.72,41.30134963989258,-0.4983169414657903,0.04244641737034919,2.480530023574829,-0.0017422924283891916,-0.017612766474485397
0.73,41.69427909851074,-0.49859436453996914,0.0424610082285615,2.4805679321289062,-0.0017495328793302178,-0.017618276178836823
0.74,42.283681869506836,-0.49900465613784595,0.042479491093981525,2.480625867843628,-0.0017601220170035958,-0.01763044111430645
0.75,42.57839012145996,-0.499210202143181,0.04248721174238415,2.4806551933288574,-0.0017656298587098718,-0.017636843025684357
0.76,43.16781692504883,-0.4996281243430212,0.042499571449934964,2.4807136058807373,-0.0017777286702767015,-0.01764826662838459
0.77,43.46253547668457,-0.4998423148065245,0.04250417048844349,2.4806597232818604,-0.00178348901681602,-0.017620787024497986
0.78,44.0516773223877,-0.5000470070382134,0.042509463218039584,2.478919744491577,-0.00178919592872262,-0.017750805243849754
0.79,44.444366455078125,-0.500368452816027,0.04251007686784783,2.479252576828003,-0.0018019148847088218,-0.017693253234028816
0.8,44.935328292846684,-0.5008349333919978,0.042507675629467744,2.479752779006958,-0.0018230252899229527,-0.017621155828237534
0.81,45.32814102172852,-0.5011885557641046,0.042503106606438974,2.4798851013183594,-0.0018410037737339735,-0.01762518100440502
0.8200000000000001,45.81918869018555,-0.5016432435915865,0.042493985235647964,2.4800522327423096,-0.0018635448068380356,-0.017636852338910103
0.8300000000000001,46.22989540100098,-0.5020030558226286,0.04248334975065619,2.480058431625366,-0.0018810033798217773,-0.017641859129071236
0.84,46.720967102050786,-0.5024310632236652,0.04246690793785923,2.4801220893859863,-0.00189944205339998,-0.01764588989317417
0.85,47.11360473632813,-0.5024384270213641,0.042450419434315996,2.4762818813323975,-0.0019077117322012782,-0.017722880467772484
0.86,47.50551109313965,-0.5021344836032985,0.042429562010942334,2.470616340637207,-0.0018816583324223757,-0.01805211789906025
0.87,47.994667053222656,-0.5019773892523882,0.042397502143514926,2.4690380096435547,-0.0018808218883350492,-0.018077973276376724
0.88,48.38566703796387,-0.501933046383636,0.04236745998333745,2.4678471088409424,-0.0018828889587894082,-0.017889827489852905
0.89,48.88312797546387,-0.5019085537521591,0.04232502143002279,2.46728515625,-0.001898476853966713,-0.01745852828025818
0.9,49.27394943237305,-0.5018141584033955,0.04229013677244548,2.46722674369812,-0.0019158263457939029,-0.017223043367266655
0.91,49.86018676757813,-0.5012911686842135,0.04224016766876663,2.4672820568084717,-0.0019222167320549488,-0.017272666096687317
0.92,50.15330543518066,-0.5007527576785461,0.042218629894518606,2.467261552810669,-0.0019020033068954945,-0.017324155196547508
0.93,50.739535903930665,-0.49902632064411956,0.04218908132223037,2.4671900272369385,-0.0017987365135923028,-0.017399536445736885
0.9400000000000001,51.032640838623045,-0.49780398358695177,0.04218414544333798,2.4671432971954346,-0.0017133909277617931,-0.017452076077461243
0.9500000000000001,51.423441696167,-0.4957799530759537,0.042191662653488955,2.4670815467834473,-0.0015658657066524029,-0.017546622082591057
0.96,52.00962753295899,-0.4918336512004201,0.04224278568561158,2.467028856277466,-0.0012843753211200237,-0.017655005678534508
0.97,52.30271873474121,-0.48942179401061225,0.042291173974023544,2.4670188426971436,-0.0011144555173814297,-0.01768132857978344
0.98,52.88889427185059,-0.4837157579284484,0.04244625061768391,2.467010736465454,-0.0007145089330151677,-0.01768699288368225
0.99,53.18198204040527,-0.4804767541579814,0.04255826171800815,2.4670064449310303,-0.00048725595115683973,-0.01767580397427082
1.0,53.76815757751465,-0.4735850932854386,0.042863539157395984,2.4669909477233887,9.659372153691947e-06,-0.01763838157057762
1.01,54.15893783569336,-0.4690153765655827,0.04313289140257514,2.466974973678589,0.0003546138759702444,-0.01761600933969021
1.02,54.647407150268556,-0.4639032467760926,0.04354626458970636,2.4669508934020996,0.0007621377008035779,-0.017602702602744102
1.03,55.03799171447754,-0.4605681934704223,0.04393524519695991,2.4601616859436035,0.0010298521956428885,-0.017269205302000046
1.04,55.51923751831055,-0.4510489908406873,0.04447048790198693,2.3799195289611816,0.0014939375687390566,-0.020203327760100365
1.05,55.88654136657715,-0.4348854548915579,0.04489372617679633,2.245410442352295,0.0022729758638888597,-0.02801278606057167
1.06,56.32479972839356,-0.4077492734016559,0.04535474393545236,2.0126397609710693,0.0035245874896645546,-0.03725920245051384
1.07,56.62723960876465,-0.37051975318534114,0.045630472802551954,1.6848599910736084,0.004991544876247644,-0.03844473138451576
1.08,56.956087875366215,-0.35148340231870734,0.045611746478240615,1.5247477293014526,0.00535645941272378,-0.03362477943301201
1.09,57.181884384155275,-0.33307356122586357,0.045391576264160176,1.3232238292694092,0.0047792838886380196,-0.02099619060754776
